id,ra,dec,p,p_er,evpa,evpa_er,q,q_er,u,u_er,dist,dist_low,dist_up,Rmag1,date_obs
1619-0139362,295.18645,71.98555,0.01665,0.00717,-29.600000381469727,14.100000381469727,0.00852,0.0069,-0.01431,0.00727,2786.0,1947.0,4028.0,14.18,2016
IT_1622-0144701,293.03983,72.24668,0.01148,0.00367,-25.59617,9.20562,0.00719,0.00372,-0.00894,0.00363,1197.78612878545,1174.05580030519,1222.47696517382,14.19,2019
IT_1621-0144866,296.67429,72.19921,0.02223,0.00159,-25.05618,2.03576,0.01425,0.00155,-0.01705,0.00162,626.257239065749,620.350713368608,632.275267747436,14.19,2019
IT_1621-0143420,293.58432,72.11843,0.01173,0.00255,-40.8239,6.42261,0.0017,0.00263,-0.0116,0.00255,604.391567051502,598.341654365243,610.562834444944,14.2,2019
IT_1629-0138874,294.87973,72.9067,0.00495,0.0019,44.34114,10.57824,1.1E-4,0.00183,0.00495,0.0019,328.54079176512,326.868247445975,330.230232627778,14.2,2019
IT_1619-0138394,293.16678,71.99631,0.01653,0.00219,-28.67826,3.85808,0.00891,0.00225,-0.01391,0.00216,1113.77166422065,1093.291830393,1135.01872468491,14.24,2019
IT_1620-0140352,293.93799,72.07759,0.01509,0.00186,-21.53465,3.53185,0.01102,0.00182,-0.0103,0.0019,1115.24585050145,1096.10329354741,1135.05619697462,14.29,2019
IT_1628-0142988,293.88,72.80032,0.00277,0.00198,38.18284,19.84342,6.5E-4,0.00192,0.0027,0.00198,218.094233157268,217.342910473825,218.850675306307,14.29,2019
1622-0145419,294.62099,72.27291,0.02022,0.00381,-25.100000381469727,5.5,0.01292,0.00401,-0.01555,0.00366,712.0,703.0,720.0,14.29,2016
IT_1619-0138651,293.70203,71.97415,0.01054,0.00193,-30.24311,5.15933,0.00519,0.00188,-0.00917,0.00194,1376.29014000731,1343.28316190343,1410.92756777558,14.3,2019
IT_1620-0139728,292.68839,72.06816,0.01851,0.00365,-27.12819,5.75548,0.01081,0.00379,-0.01502,0.00358,811.176321123001,796.284567411993,826.625122628156,14.3,2019
IT_1622-0144748,293.1275,72.24192,0.01077,0.0028,-22.69004,7.45336,0.00756,0.00278,-0.00766,0.00283,1045.38010910388,1028.70860376442,1062.59068398738,14.3,2019
1624-0141487,294.66909,72.45959,0.01422,0.00763,-38.79999923706055,18.700000762939453,0.00303,0.00707,-0.01389,0.00765,695.0,686.0,705.0,14.3,2016
IT_1622-0145585,294.95917,72.2117,0.01778,0.00294,-26.35215,4.70877,0.01077,0.0029,-0.01414,0.00296,1128.41941384525,1109.08885614401,1148.42294590685,14.32,2019
IT_1628-0143580,295.11371,72.82732,0.01121,0.00198,-22.35724,5.07199,0.00796,0.00196,-0.00788,0.00201,1001.16098415169,982.419304275926,1020.61798013933,14.32,2019
1620-0140825,294.78657,72.08941,0.00573,0.00967,-23.0,49.79999923706055,0.00397,0.0082,-0.00413,0.01086,2049.0,1986.0,2116.0,14.32,2016
1619-0139224,294.89376,71.9815,0.01687,0.00357,-26.5,6.300000190734863,0.01013,0.00398,-0.01349,0.00332,2016.0,1952.0,2084.0,14.33,2016
1623-0142027,294.98499,72.31559,0.02236,0.00491,-44.900001525878906,6.5,1.0E-4,0.00523,-0.02236,0.00491,994.0,978.0,1010.0,14.33,2016
